Initial BitLen: 3 	 10 trials per BitLen 
BitLen 	 CPU time used 	 n 	 public key 	 private key
26 	 321.375 	 2647231503431609 	 64056379 	 32016697337779
26 	 306.265625 	 2738051717782739 	 65892641 	 2695423988166761
26 	 415.015625 	 3547855793328709 	 62076549 	 1489240170205177
26 	 189.890625 	 3765578976835057 	 35575331 	 3488044355633891
27 	 521.578125 	 8337481027364609 	 104907167 	 4725934388353823
27 	 449.796875 	 10501696261153931 	 77549243 	 10114589872153355
27 	 499.328125 	 12782156595915599 	 83518853 	 10242236922113765
27 	 755.28125 	 7150198488325313 	 131466671 	 148177811621807
27 	 421.71875 	 9631557268273433 	 71630087 	 2532306869777135
27 	 376.9375 	 11587410216720887 	 79969969 	 6746469903894529
27 	 688.1875 	 13429124793055747 	 106387431 	 10049249499014871
27 	 732.78125 	 7100093582420639 	 132439825 	 4554530504007529
27 	 359.0 	 7537169279895589 	 67134823 	 1220342017465687
27 	 667.828125 	 9976104805040093 	 117367837 	 6482429721683509
28 	 1647.125 	 63639251567090587 	 260666993 	 47583561751526777
28 	 1256.109375 	 28971056365384109 	 203917871 	 566934763193231
28 	 1090.265625 	 44760266738989597 	 149255397 	 7097127924392173
28 	 994.40625 	 21410180896406377 	 189835249 	 15931625000440849
28 	 874.453125 	 60910433414223259 	 137731147 	 27940690170597379
28 	 1481.421875 	 30854841933662497 	 262305011 	 4669574740505267
28 	 1155.453125 	 39995496729854803 	 219726929 	 25649096949035249
28 	 1783.921875 	 21551234948587621 	 217542993 	 11177044365743141
28 	 1762.09375 	 22960118206074979 	 264530885 	 3921746005086397
28 	 1279.375 	 34617393919803403 	 227400431 	 2594245085528591
29 	 2235.71875 	 166739596065229199 	 362772359 	 5384747982230039
29 	 1836.25 	 118831298651514377 	 321548239 	 6459621582925999
29 	 2269.5625 	 225461819032486471 	 300131883 	 105869531015771331
29 	 1770.734375 	 150514530020141477 	 297562073 	 16907218333114601
29 	 3258.203125 	 120203825857905821 	 535348309 	 2623267544516125
29 	 3036.71875 	 110316926671762169 	 493326209 	 102029667130327169
29 	 1717.265625 	 127274476863075947 	 281125895 	 108862174434646319
